Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
HABT11,18E0844461,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21B0000204,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,22D1286984,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,21C0710497,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,18E0852030,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0850298,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0775722,CF,recebiveis/ credito/ direito creditorio,AF,FR,F,socios,,,,,,
HABT11,21A0850574,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21D0864265,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0607963,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,21A0869388,CF,recebiveis/ credito/ direito creditorio,AF,spe,F,FR,FR,,,,,
HABT11,21J0650047,CF,AF,imovel,FR,R,FR,,,,,,
HABT11,21L0050460,CF,recebiveis/ credito/ direito creditorio,AF,FR,F,,,,,,,
HABT11,21H0284007,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21J0302094,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0859444,CF,recebiveis/ credito/ direito creditorio,AF,spe,F,FR,FR,,,,,
HABT11,21A0826515,CF,recebiveis/ credito/ direito creditorio,AF,spe,F,FR,FR,,,,,
HABT11,21J0300975,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,imovel,FR,FR,,,,
HABT11,21D0864253,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,21A0775566,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,19D1329258,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21L0729731,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,22I0149864,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,18E0852434,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0607952,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
