Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
MXRF11,20K0571487,alienacao fiduciaria,imovel,,,,,,,,,,
MXRF11,24B0013802,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",fundo reserva,,,,,,,
MXRF11,19I0737681,cessao fiduciaria,dividendos,AF,subordinacao,,,,,,,,
MXRF11,23F1763644,fianca,,,,,,,,,,,
MXRF11,23L2159971,fundo reserva,recebiveis/ credito/ direito creditorio,,,,,,,,,,
MXRF11,22B0309134,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",cessao fiduciaria,fianca,,,,,,,,
MXRF11,22J0346032,AF,terreno,CF,recebiveis/ credito/ direito creditorio,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,fundo reserva,fundo reserva,seguro,fianca,aval
MXRF11,20I0777292,alienacao fiduciaria,R,cessao fiduciaria,cessao fiduciaria,fundo reserva,,,,,,,
MXRF11,21K0633996,cessao fiduciaria,aval,,,,,,,,,,
MXRF11,20L0653261,alienacao fiduciaria,,,,,,,,,,,
MXRF11,22D0371507,AF,imovel,fianca,,,,,,,,,
MXRF11,21F0906525,alienacao fiduciaria,imovel,fundo reserva,fianca,,,,,,,,
MXRF11,22J0346038,AF,terreno,CF,recebiveis/ credito/ direito creditorio,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,fundo reserva,fundo reserva,seguro,fianca,aval
MXRF11,20J0667658,alienacao fiduciaria,imovel,cessao fiduciaria,fianca,fundo reserva,fundo reserva,fundo reserva,,,,,
MXRF11,22I1555753,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,recebiveis/ credito/ direito creditorio,AF,imovel,fianca,fundo reserva,,,,
MXRF11,22B0939878,cessao fiduciaria,recebiveis/ credito/ direito creditorio,alienacao fiduciaria,imovel,fianca,fundo reserva,,,,,,
MXRF11,22B0939875,cessao fiduciaria,recebiveis/ credito/ direito creditorio,alienacao fiduciaria,imovel,fianca,fundo reserva,,,,,,
MXRF11,19F0923004,AF,imovel,,,,,,,,,,
MXRF11,19L0906036,AF,fundo reserva,R,,,,,,,,,
MXRF11,22B0084502,AF,imovel,AF,CF,recebiveis/ credito/ direito creditorio,fianca,,,,,,
MXRF11,23C2829802,fianca,,,,,,,,,,,
MXRF11,22B0939864,cessao fiduciaria,recebiveis/ credito/ direito creditorio,alienacao fiduciaria,imovel,fianca,fundo reserva,,,,,,
MXRF11,23C2830001,fianca,,,,,,,,,,,
MXRF11,24F2269311,aval,AF,"cotas de fundo (fip, fii etc.) e acoes",AF,imovel,cessao fiduciaria,,,,,,
MXRF11,24F2269312,aval,AF,"cotas de fundo (fip, fii etc.) e acoes",AF,imovel,cessao fiduciaria,,,,,,
MXRF11,20J0837207,AF,subordinacao,fundo reserva,,,,,,,,,
MXRF11,18L1179520,cessao fiduciaria,AF,imovel,,,,,,,,,
MXRF11,23C2830002,fianca,,,,,,,,,,,
MXRF11,23C2829803,fianca,,,,,,,,,,,
MXRF11,12E0031990,cessao fiduciaria,AF,imovel,fundo reserva,seguro,,,,,,,
MXRF11,20H0695880,alienacao fiduciaria,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",spe,cessao fiduciaria,fundo reserva,fundo reserva,,,,,
MXRF11,21B0544455,alienacao fiduciaria,"cotas de fundo (fip, fii etc.) e acoes",,,,,,,,,,
MXRF11,20L0632150,fundo reserva,,,,,,,,,,,
MXRF11,19B0177968,cessao fiduciaria,recebiveis/ credito/ direito creditorio,cessao fiduciaria,aval,,,,,,,,
MXRF11,18D0698877,cessao fiduciaria,recebiveis/ credito/ direito creditorio,cessao fiduciaria,aval,,,,,,,,
MXRF11,19A0698738,alienacao fiduciaria,fundo reserva,fianca,,,,,,,,,
MXRF11,23L2159982,fundo reserva,recebiveis/ credito/ direito creditorio,,,,,,,,,,
MXRF11,20I0718383,alienacao fiduciaria,cessao fiduciaria,recebiveis/ credito/ direito creditorio,cessao fiduciaria,fianca,alienacao fiduciaria,fundo reserva,fundo reserva,,,,
MXRF11,20I0718026,alienacao fiduciaria,cessao fiduciaria,recebiveis/ credito/ direito creditorio,cessao fiduciaria,fianca,alienacao fiduciaria,fundo reserva,fundo reserva,,,,
MXRF11,14K0234407,,,,,,,,,,,,
MXRF11,13L0034539,AF,imovel,seguro,fundo reserva,aval,,,,,,,
MXRF11,11F0042226,cessao fiduciaria,,,,,,,,,,,
MXRF11,15H0698161,AF,AF,terreno,fundo reserva,aval,,,,,,,
RBRY11,CRI Tael,AF,imovel,spe,CF,aval,,,,,,,
RBRY11,CRI Yuny Jardim Paulista Série I,AF,imovel,spe,CF,aval,fianca,,,,,,
RBRY11,CRI MOS Jardins e Pinheiros,AF,terreno,spe,CF,aval,FR,,,,,,
RBRY11,CRI FGR,AF,terreno,spe,CF,aval,FR,,,,,,
RBRY11,CRI JFL Parque da Cidade,AF,imovel,spe,CF,aval,,,,,,,
RBRY11,CRI Patriani,AF,terreno,spe,CF,aval,FR,,,,,,
RBRY11,CRI Lux Vila Nova Conceição,AF,imovel,spe,CF,aval,,,,,,,
RBRY11,CRI Cond. Residencial AA SP,AF,imovel,spe,CF,fianca,FR,,,,,,
RBRY11,CRI Share Butantã,AF,imovel,CF,FR,,,,,,,,
RBRY11,CRI Emergent Cold,AF,imovel,FR,,,,,,,,,
RBRY11,CRI Cabreúva,AF,imovel,,,,,,,,,,
RBRY11,CRI Creditu,AF,imovel,seguro,,,,,,,,,
RBRY11,CRI Moura Dubeux,AF,imovel,CF,FR,aval,,,,,,,
RBRY11,CRI HM Maxi Campinas,AF,imovel,spe,CF,aval,,,,,,,
RBRY11,CRI Carteira MRV III (Série II),FR,seguro,,,,,,,,,,
RBRY11,CRI Pulverizado,AF,imovel,,,,,,,,,,
RBRY11,CRI Conx,AF,imovel,spe,CF,fianca,aval,,,,,,
RBRY11,CRI You,AF,terreno,spe,CF,,,,,,,,
RBRY11,CRI Verticale,AF,imovel,spe,CF,aval,,,,,,,
RBRY11,CRI Yuny II CDI,AF,spe,CF,fianca,aval,,,,,,,
RBRY11,CRI Carteira MRV III (Série I),FR,seguro,,,,,,,,,,
RBRY11,CRI Epson,AF,spe,CF,FR,aval,,,,,,,
RBRY11,CRI Tarjab Altino CDI,AF,imovel,spe,aval,FR,,,,,,,
RBRY11,CRI Pernambuco,AF,imovel,CF,FR,,,,,,,,
RBRY11,CRI Exto,AF,,,,,,,,,,,
RBRY11,CRI Tarjab Lauto,AF,terreno,spe,FR,aval,,,,,,,
RBRY11,CRI Alphaville,AF,imovel,spe,CF,aval,FR,,,,,,
RBRY11,CRI Brookfield JK CDI,AF,imovel,CF,FR,,,,,,,,
RBRY11,CRI Landsol,AF,spe,CF,FR,,,,,,,,
RBRY11,CRI Setin Perdizes,AF,FR,aval,,,,,,,,,
RBRY11,CRI Yuny Jardim Paulista Série II,AF,imovel,spe,CF,fianca,aval,,,,,,
RBRY11,CRI Arqos,AF,spe,CF,fianca,aval,,,,,,,
RBRY11,CRI Carteira MRV V (Série III),AF,imovel,FR,,,,,,,,,
RBRY11,CRI One Perdizes,AF,imovel,spe,CF,fianca,aval,FR,,,,,
RBRY11,CRI Carteira MRV IV (Série II),AF,imovel,FR,,,,,,,,,
RBRY11,CRI Lindenberg,AF,spe,CF,fianca,aval,FR,,,,,,
RBRY11,CRI Tarjab Origem,AF,spe,CF,aval,FR,,,,,,,
RBRY11,CRI Pontte,AF,sobrecolateral,,,,,,,,,,
RBRY11,CRI Mauá 2,AF,sobrecolateral,,,,,,,,,,
RBRY11,CRI Wimo,AF,sobrecolateral,,,,,,,,,,
RBRY11,CRI Yuny,AF,spe,CF,fianca,aval,,,,,,,
RBRY11,CRI Creditas V,AF,,,,,,,,,,,
RBRY11,CRI Tourmalet Mez 1,AF,imovel,CF,recompra,,,,,,,,
